#dig start(26;25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,d,d,d,d,d,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,d,d,d,d,d
,,,d,d,,d,d,,d,d,,d,d,d,,d,d,d,d,d,d,d,,d,d,d,,d,d,d,d,d,d,d,,d,d,d,,d,d,,d,d,,d,d
,,,,,,d,d,,,,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,,,,d,d,,,
,,,d,d,d,d,d,d,d,d,,,d,,,,,,,,d,,,d,d,d,,,d,,,,,,,,d,,,d,d,d,d,d,d,d,d
,,,d,d,,d,d,,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,,d,d,,d,d
,,,,,,d,d,,,,,d,d,d,d,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,d,d,d,d,,,,,d,d,,,
,,,d,d,d,d,d,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,d,d,d,d,d
,,,d,d,,d,d,,d,d,,,,,,,d,,,,,,,d,d,d,,,,,,,d,,,,,,,d,d,,d,d,,d,d
,,,,,,d,d,,,,,d,d,,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,,d,d,,,,,d,d,,,
,,,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,,d,d,,d,d,d,,d,d,,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,d,d
,,,d,d,,d,d,d,d,d,,,,,d,d,d,d,d,,,,,d,d,d,,,,,d,d,d,d,d,,,,,d,d,d,d,d,,d,d
,,,,,,,,,d,d,,d,d,,,,,,,,d,d,d,d,d,d,d,d,d,,,,,,,,d,d,,d,d,,,,,,
,,,,,,d,d,d,d,d,d,d,d,,d,d,,d,d,,d,d,,d,d,d,,d,d,,d,d,,d,d,,d,d,d,d,d,d,d,d,,,
,,,,,,d,d,,d,d,,,,,d,d,,d,d,,,,,d,d,d,,,,,d,d,,d,d,,,,,d,d,,d,d,,,
,,,,,,,,,d,d,,d,d,,,d,,,d,,d,d,d,d,d,d,d,d,d,,d,,,d,,,d,d,,d,d,,,,,,
,,,,,,d,d,d,d,d,d,d,d,,d,d,d,d,d,,d,d,,d,d,d,,d,d,,d,d,d,d,d,,d,d,d,d,d,d,d,d,,,
,,,,,,d,d,,d,d,,,,,d,d,d,d,d,,,,,d,d,d,,,,,d,d,d,d,d,,,,,d,d,,d,d,,,
,,,,,,,,,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,,,,,,
,,,,,,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,,,
,,,,,,d,d,,,d,,,d,,,d,,,d,,,d,,,d,,,d,,,d,,,d,,,d,,,d,,,d,d,,,
,,,,,,,,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,,,,,
,,,,,,,,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,,,,,
